"","PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","CDS_ID","GW_SW_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","CITY_NAME","ZIP_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED","PWSID_STATE"
"3390","PA1090059","QUIET ACRES MOBILE HOME PARK","N","PA","3","","","I","30-JUN-00","CWS",NA,"GW","P","115","State","GW","N","N","N","60","Y","","QUAKERTOWN","18951","PA","","","","","Not Reported","Bucks","PA"
"3391","PA1090061","ROCKHILL MENNONITE HOME","N","PA","3","01-01","12-31","I","01-JUN-78","CWS",NA,"GW","","53","State","GW","N","N","N","1","Y","","SELLERSVILLE","18960","PA","","","","","Not Reported","Bucks","PA"
"3392","PA1090062","SELLERSVILLE BORO WATER WORKS","N","PA","3","","","I","01-NOV-11","CWS",NA,"SW","L","4900","State","SW","N","N","N","1691","Y","SELLERSVILLE BORO WATER WORKS","SELLERSVILLE","18960","PA","","","","","Not Reported","Bucks","PA"
"3393","PA1090065","ANN RENO MOBILE HOME PARK","N","PA","3","01-01","12-31","I","01-MAY-86","CWS",NA,"GW","P","158","State","GW","N","N","N","70","Y","","TELFORD","18969","PA","","","","","Not Reported","Bucks","PA"
"3394","PA1090066","ELLZY'S MOBILE PARK","N","PA","3","01-01","12-31","I","01-JAN-86","CWS",NA,"GW","P","20","State","GW","N","N","N","10","Y","","TREVOSE","19047","PA","","","","","Not Reported","Bucks","PA"
"3395","PA1090067","CHRISTS HOME FOR THE AGED","N","PA","3","01-01","12-31","I","01-JAN-86","CWS",NA,"GW","P","100","State","GW","N","N","N","75","Y","","WARMINSTER","18974","PA","","","","","Not Reported","Bucks","PA"
"3396","PA1090068","CHRIST HOME","N","PA","3","","","I","30-APR-98","CWS",NA,"GW","P","80","State","GW","N","N","N","20","Y","","WARMINSTER","18974","PA","","","","","Not Reported","Bucks","PA"
"3397","PA1090071","NORTH PENN WATER AUTHORITY","N","PA","3","","","I","20-JUL-94","CWS",NA,"GW","L","450","State","GW","N","N","N","350","Y","","LANSDALE","19446","PA","","","","","Not Reported","Bucks","PA"
"3398","PA1090072","FOX NURSING CENTER","N","PA","3","","","I","07-JUL-97","CWS",NA,"GW","P","100","State","GW","N","N","N","1","Y","","WARRINGTON","189760000","PA","","","","","Not Reported","Bucks","PA"
"3401","PA1090076","PHILA SUB WATER CO","N","PA","3","01-01","12-31","I","01-JUL-78","CWS",NA,"SW","P","759135","State","SW","N","N","N","0","Y","","BRYN MAWR","19010","PA","","","","","Not Reported","Bucks","PA"
"3402","PA1090077","MIDDLETOWN TWP-WATER ONE DIST.","N","PA","3","01-01","12-31","I","01-OCT-81","CWS",NA,"GW","L","1100","State","GW","N","N","N","350","Y","","LEVITTOWN","19053","PA","","","","","Not Reported","Bucks","PA"
"3403","PA1090080","WARMINSTER HEIGHTS","N","PA","3","","","I","08-SEP-04","CWS",NA,"GW","M","3100","State","GW","N","N","N","703","Y","","WARMINSTER","18974","PA","","","","","Not Reported","Bucks","PA"
"3404","PA1090083","COLONIAL WOODS DEVELOPMENT","N","PA","3","01-01","12-31","I","01-AUG-78","CWS",NA,"GW","P","4000","State","GW","N","N","N","0","Y","","WEST CHESTER","19380","PA","","","","","Not Reported","Bucks","PA"
"3406","PA1090086","NORTH PENN WATER AUTH","N","PA","3","01-01","12-31","I","01-APR-78","CWS",NA,"GW","F","3200","State","GW","N","N","N","0","Y","","LANSDALE","19446","PA","","","","","Not Reported","Bucks","PA"
"3407","PA1090087","W V WATER CO","N","PA","3","01-01","12-31","I","01-MAR-80","CWS",NA,"GW","P","340","State","GW","N","N","N","0","Y","","CHALFONT","18914","PA","","","","","Not Reported","Bucks","PA"
"3408","PA1090088","TOWER HILL WATER CO","N","PA","3","01-01","12-31","I","01-MAR-80","CWS",NA,"GW","P","100","State","GW","N","N","N","0","Y","","CHALFONT","18914","PA","","","","","Not Reported","Bucks","PA"
"3409","PA1090090","WC SEIDEL WATER WORKS","N","PA","3","01-01","12-31","I","01-MAY-86","CWS",NA,"GW","P","310","State","GW","N","N","N","0","Y","","SILVERDALE","18962","PA","","","","","Not Reported","Bucks","PA"
"3410","PA1090092","WARRINGTON WATER CO INC","N","PA","3","01-01","12-31","I","01-MAY-85","CWS",NA,"GW","P","300","State","GW","N","N","N","90","Y","","WARRINGTON","18976","PA","","","","","WARRINGTON","Bucks","PA"
"3411","PA1090094","PALOMINO WATER CO","N","PA","3","01-01","12-31","I","01-APR-78","CWS",NA,"GW","P","1000","State","GW","N","N","N","0","Y","","WARRINGTON","18976","PA","","","","","Not Reported","Bucks","PA"
"3412","PA1090095","VALLEY WATER CO","N","PA","3","01-01","12-31","I","01-APR-78","CWS",NA,"GW","P","480","State","GW","N","N","N","0","Y","","WARRINGTON TWP","18976","PA","","","","","Not Reported","Bucks","PA"
"3413","PA1090311","NEW HOPE MANOR ST MARTINS CHUR","N","PA","3","","","I","31-DEC-07","CWS",NA,"GW","M","96","State","GW","N","N","N","1","Y","NEW HOPE MANOR ST MARTINS CHUR","LEVITTOWN","19054","PA","","","","","Not Reported","Bucks","PA"
"3643","PA5030039","QUERIO MOBILE HOME PARK","N","PA","3","01-01","12-31","I","01-AUG-84","CWS",NA,"GW","P","250","State","GW","N","N","N","77","Y","","LEECHBURG","15656","PA","","","","","Not Reported","Armstrong","PA"
"3644","PA5030040","KEYSTONE MOBILE HOME COURT","N","PA","3","","","I","23-OCT-85","CWS",NA,"GW","P","24","State","GW","N","N","N","14","Y","","SPRING CHURCH","15686","PA","","","","","Not Reported","Armstrong","PA"
"3645","PA5030041","KISKIMINETAS SPRING SCHOOL","N","PA","3","01-01","12-31","I","01-JUN-80","CWS",NA,"GW","P","250","State","GW","N","N","N","1","Y","","SALTSBURG","15681","PA","","","","","Not Reported","Armstrong","PA"
"3646","PA5030046","268 CENTER INC","N","PA","3","","","I","05-FEB-02","CWS",NA,"GW","P","10","State","GW","N","N","N","15","Y","","WORTHINGTON","16218","PA","","","","","Not Reported","Armstrong","PA"
"3647","PA5030048","ALTMEYERS COUNTRY REST ESTATES","N","PA","3","","","I","23-MAY-03","CWS",NA,"GW","P","39","State","GW","N","N","N","1","Y","","KITTANNING","16201","PA","","","","","Not Reported","Armstrong","PA"
"3732","PA3480086","BETH AIRPORT RD SYS","N","PA","3","","","I","06-MAY-13","CWS",NA,"SW","L","750","State","SWP","N","N","N","270","Y","EATMA AIRPORT RD SYS","NORTHAMPTON","18067","PA","","","","","Not Reported","Northampton","PA"
"3733","PA3480087","KEENHOLD ASSOC WATER SYS","N","PA","3","","","I","22-FEB-11","CWS",NA,"GW","P","40","State","GW","N","N","N","4","Y","KEENHOLD ASSOC WATER SYS","WIND GAP","18091","PA","","","","","Not Reported","Northampton","PA"
"3734","PA3480088","MARY ELLEN CONVALESCENT HOME","N","PA","3","","","I","12-SEP-06","CWS",NA,"GW","P","66","State","GW","N","N","N","1","Y","MARY ELLEN CONVALESCENT HOME","HELLERTOWN","18055","PA","","","","","Not Reported","Northampton","PA"
"3735","PA3480300","GAP VIEW MOBILE HOME PARK","N","PA","3","","","I","24-JUN-79","CWS",NA,"GW","P","68","State","GW","N","N","N","37","Y","","WALNUTPORT","18088","PA","","","","","Not Reported","Northampton","PA"
"3736","PA3480309","INFISN DYRPD MOBILR HOMR PSTK","N","PA","3","","","I","24-JUN-79","CWS",NA,"GW","P","93","State","GW","N","N","N","38","Y","","WIND GAP","18091","PA","","","","","Not Reported","Northampton","PA"
"3737","PA3480312","YESVILLE MOBILE HOME PARK","N","PA","3","","","I","24-JUN-79","CWS",NA,"GW","P","33","State","GW","N","N","N","13","Y","","NAZARETH","18064","PA","","","","","Not Reported","Northampton","PA"
"3738","PA3480313","MT VIEW--RICHARD C BECKER","N","PA","3","","","I","24-JUN-79","CWS",NA,"GW","P","250","State","GW","N","N","N","100","Y","","WALNUTPORT","18088","PA","","","","","Not Reported","Northampton","PA"
"3809","NJ1710007","HOLLY TREE ACRES MHP SYS 2","N","NJ","2","","","I","31-MAR-17","CWS",NA,"GW","P","200","State","GW","N","N","N","64","Y","BERGSTROM, STEPHEN","COCHRANVILLE","19330","PA","N","","","","PITTSGROVE TWP.-1710","Salem","NJ"
"3856","PA1090106","DUBLIN ACRES HOMEOWNERS ASSOC","Y","PA","3","","","A","","CWS",NA,"GW","M","175","State","GW","Y","N","N","54","Y","DUBLIN ACRES HOMEOWNERS ASSOC","ALLENTOWN","18106","PA","","","","","Not Reported","Bucks","PA"
"3857","PA1090107","BOROUGH OF DUBLIN","Y","PA","3","","","A","","CWS",NA,"GW","L","2200","State","GW","Y","N","N","350","Y","BOROUGH OF DUBLIN","DUBLIN","18917","PA","","","","","Not Reported","Bucks","PA"
"3858","PA1090117","HILLTOWN TWP WATER&SEWER AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","5770","State","SWP","Y","N","N","1248","Y","HILLTOWN TWP WATER&SEWER AUTH","SELLERSVILLE","18960","PA","","","","","Not Reported","Bucks","PA"
"3863","PA1090162","RESERVE AND RIDGE AT HILLTOWN","Y","PA","3","","","A","","CWS",NA,"SW","L","300","State","SWP","Y","N","N","155","Y","RESERVE AND RIDGE AT HILLTOWN","SELLERSVILLE","18960","PA","","","","","Not Reported","Bucks","PA"
"3864","PA1090122","TWP OF UPPER MAKEFIELD","Y","PA","3","","","A","","CWS",NA,"GW","L","1800","State","GW","Y","N","N","596","Y","TWP OF UPPER MAKEFIELD","NEWTOWN","18940","PA","","","","","Not Reported","Bucks","PA"
"3865","PA1090123","BUCKINGHAM TWP FIELDSTONE","Y","PA","3","","","A","","CWS",NA,"GW","L","281","State","GW","Y","N","N","104","Y","BUCKINGHAM TWP FIELDSTONE","BUCKINGHAM","18912","PA","","","","","Not Reported","Bucks","PA"
"3869","PA1460025","WOODED RIDGE DEVELOPMENT","Y","PA","3","","","A","","CWS",NA,"GW","M","53","State","GW","Y","N","N","15","Y","WOODED RIDGE DEVELOPMENT","GREEN LANE","18054","PA","","","","","Not Reported","Montgomery","PA"
"3872","PA1090063","UPPER SOUTHAMPTON MUN AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","16000","State","SWP","Y","N","N","5100","Y","UPPER SOUTHAMPTON MUN AUTH","SOUTHAMPTON","18966","PA","","","","","Not Reported","Bucks","PA"
"3873","PA1090064","SPRINGTOWN WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","L","600","State","GW","Y","N","N","196","Y","SPRINGTOWN WATER AUTHORITY","SPRINGTOWN","18081","PA","","","","","Not Reported","Bucks","PA"
"3879","PA6200006","SUGARCREEK MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","50","State","GW","Y","N","N","24","Y","SUGARCREEK MHP","COCHRANTON","16314","PA","","","","","Not Reported","Crawford","PA"
"3883","PA6250098","SAINT MARYS HOME OF ERIE","Y","PA","3","","","A","","CWS",NA,"SW","M","275","State","SWP","Y","N","N","1","Y","SAINT MARYS HOME OF ERIE","ERIE","16504","PA","","","","","Not Reported","Erie","PA"
"3901","PA7360053","WATSON RUN","Y","PA","3","","","A","","CWS",NA,"GW","P","150","State","GW","Y","N","N","79","Y","WATSON RUN","INTERCOURSE","17534","PA","","","","","Not Reported","Lancaster","PA"
"3902","PA1090053","CHERRY MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","62","State","GW","Y","N","N","42","Y","CHERRY MOBILE HOME PARK","CENTER VALLEY","18034","PA","","","","","Not Reported","Bucks","PA"
"3903","PA5100080","LAKEVIEW MOBILEHOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","44","State","GW","Y","N","N","31","Y","LAKEVIEW MOBILEHOME PARK","VALENCIA","16059","PA","","","","","Not Reported","Butler","PA"
"3905","PA1090057","RICHLANDTOWN WATER DEPARTMENT","Y","PA","3","","","A","","CWS",NA,"GW","L","1450","State","GW","Y","N","N","469","Y","RICHLANDTOWN WATER DEPARTMENT","RICHLANDTOWN","18955","PA","","","","","Not Reported","Bucks","PA"
"3906","PA1090058","RIEGELSVILLE WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","L","980","State","GW","Y","N","N","402","Y","RIEGELSVILLE WATER AUTHORITY","RIEGELSVILLE","18077","PA","","","","","Not Reported","Bucks","PA"
"3907","PA1090060","GREENTOP MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","120","State","GW","Y","N","N","51","Y","GREENTOP MOBILE HOME PARK","QUAKERTOWN","18951","PA","","","","","Not Reported","Bucks","PA"
"3912","PA6430079","LIBERTY TOWNSHIP","Y","PA","3","","","A","","CWS",NA,"GW","L","50","State","GWP","Y","N","N","31","Y","LIBERTY TOWNSHIP","GROVE CITY","16127","PA","","","","","Not Reported","Mercer","PA"
"3915","PA6250096","MCKEAN TWP WATERWORKS","Y","PA","3","","","A","","CWS",NA,"SW","L","1048","State","SWP","Y","N","N","357","Y","MCKEAN TWP WATERWORKS","ERIE","16507","PA","","","","","Not Reported","Erie","PA"
"3922","PA4490027","EYERS MANOR","Y","PA","3","","","A","","CWS",NA,"GW","P","31","State","GW","Y","N","N","1","Y","EYERS MANOR","NORTHUMBERLAND","17857","PA","","","","","Not Reported","Northumberland","PA"
"3927","PA4140134","BLARNEYSTONE","Y","PA","3","","","A","","CWS",NA,"GW","P","75","State","GW","Y","N","N","26","Y","BLARNEYSTONE","JULIAN","16844","PA","","","","","Not Reported","Centre","PA"
"3930","PA1090049","PEDIATRIC SPECIALTY CARE","Y","PA","3","","","A","","CWS",NA,"GW","P","56","State","GW","Y","N","N","5","Y","PEDIATRIC SPECIALTY CARE","PT PLEASANT","18950","PA","","","","","Not Reported","Bucks","PA"
"3931","PA1090050","QUAKER VIEW MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","60","State","GW","Y","N","N","20","Y","QUAKER VIEW MOBILE HOME PARK","LANSDALE","19446","PA","","","","","Not Reported","Bucks","PA"
"3932","PA1090052","RICHLAND MEADOWS MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","750","State","GW","Y","N","N","400","Y","RICHLAND MEADOWS MHP","QUAKERTOWN","18951","PA","","","","","Not Reported","Bucks","PA"
"3946","PA5100004","WOODBINE OAKS MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","65","State","GW","Y","N","N","40","Y","WOODBINE OAKS MHP","BUTLER","16001","PA","","","","","Not Reported","Butler","PA"
"3954","PA2520091","SUNRISE LAKE SECTION 9","Y","PA","3","","","A","","CWS",NA,"GW","P","125","State","GW","Y","N","N","1","Y","SUNRISE LAKE SECTION 9","MILFORD","18337","PA","","","","","Not Reported","Pike","PA"
"3955","PA2520092","SUNRISE LAKES SEC 12 EAST","Y","PA","3","","","A","","CWS",NA,"GW","P","125","State","GW","Y","N","N","1","Y","SUNRISE LAKES SEC 12 EAST","MILFORD","18337","PA","","","","","Not Reported","Pike","PA"
"3956","PA2520094","SUNRISE LAKES SEC 12 WEST","Y","PA","3","","","A","","CWS",NA,"GW","P","25","State","GW","Y","N","N","1","Y","SUNRISE LAKES SEC 12 WEST","MILFORD","18337","PA","","","","","Not Reported","Pike","PA"
"3997","PA1460010","DOCK WOODS COMMUNITY","Y","PA","3","","","A","","CWS",NA,"SW","M","72","State","SWP","Y","N","N","1","Y","DOCK WOODS COMMUNITY","LANSDALE","19446","PA","","","","","Not Reported","Montgomery","PA"
"4012","PA6250097","FRELIGHS WHISPERING PINES MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","42","State","GW","Y","N","N","25","Y","FRELIGHS WHISPERING PINES MHP","SPRINGBORO","16435","PA","","","","","Not Reported","Erie","PA"
"4024","PA6370958","CARRIAGE COURT PERSONAL CARE","Y","PA","3","","","A","","CWS",NA,"GW","P","40","State","GW","Y","N","N","1","Y","CARRIAGE COURT PERSONAL CARE","NEW CASTLE","16101","PA","","","","","Not Reported","Lawrence","PA"
"4206","PA1461175","RIVER CREST CENTER","N","PA","3","","","I","18-OCT-99","CWS",NA,"GW","S","35","State","GW","N","N","N","20","Y","","PLYMOUTH MEETING","19462","PA","","","","","MONT CLARE","Montgomery","PA"
"4229","PA1460001","VILLAGE SCENE MOBILEHOME PARK","N","PA","3","","","I","11-FEB-88","CWS",NA,"GW","P","340","State","GW","N","N","N","170","Y","","HATFIELD","19440","PA","","","","","Not Reported","Montgomery","PA"
"4234","PA1466309","WATERHAVEN KLEER WATER STORE","N","PA","3","01-01","12-31","I","01-JUN-95","CWS",NA,"SW","","3500","State","SWP","N","N","N","1","Y","","EAGLEVILLE","19403","PA","","","","","EAGLEVILLE","Montgomery","PA"
"4237","PA1460021","PHILADELPHIA SUBURBAN WATER CO","N","PA","3","01-01","12-31","I","01-JUN-85","CWS",NA,"SW","P","900000","State","SW","N","N","N","215569","Y","","BRYN MAWR","19010","PA","","","","","Not Reported","Montgomery","PA"
"4238","PA1460024","FAIRVIEW VILLAGE MHP","N","PA","3","","","I","11-MAR-93","CWS",NA,"GW","M","24","State","GW","N","N","N","16","Y","","FAIRVIEW VILLAGE","19409","PA","","","","","Not Reported","Montgomery","PA"
"4239","PA1460026","PERKIOMEN VAL PRES SOC","N","PA","3","","","I","11-MAY-89","CWS",NA,"GW","P","200","State","GW","N","N","N","126","Y","","PO BOX 185 HEREFORD","18056","PA","","","","","Not Reported","Montgomery","PA"
"4240","PA1460029","WARRINGTON WATER CO INC","N","PA","3","01-01","12-31","I","01-NOV-78","CWS",NA,"GW","P","300","State","GW","N","N","N","90","Y","","HATBORO","19040","PA","","","","","Not Reported","Montgomery","PA"
"4241","PA1460031","HATFIELD BORO WATER AUTH","N","PA","3","","","I","31-JAN-88","CWS",NA,"GW","L","5300","State","GW","N","N","N","1413","Y","","HATFIELD","19440","PA","","","","","Not Reported","Montgomery","PA"
"4242","PA1460032","LEARY'S TRAILER VILLAGE","N","PA","3","01-01","12-31","I","01-AUG-85","CWS",NA,"GW","P","91","State","GW","N","N","N","68","Y","","HORSHAM","19044","PA","","","","","Not Reported","Montgomery","PA"
"4243","PA1460040","CITIZENS UTILITES HOME WATER","N","PA","3","01-01","12-31","I","01-DEC-85","CWS",NA,"SW","P","12506","State","SW","N","N","N","2820","Y","","SPRING CITY (CHESTER","19475","PA","","","","","SPRING CITY","Montgomery","PA"
"4244","PA1460041","GUS BOLDS TRAILER PARK","N","PA","3","01-01","12-31","I","01-MAR-79","CWS",NA,"GW","P","30","State","GW","N","N","N","11","Y","","SCHWENKSVILLE","18078","PA","","","","","Not Reported","Montgomery","PA"
"4245","PA1460043","BAERS MOBILE HOME COURT","N","PA","3","01-01","12-31","I","01-APR-78","CWS",NA,"GW","P","52","State","GW","N","N","N","15","Y","","SCHWENKSVILLE","18078","PA","","","","","Not Reported","Montgomery","PA"
"4247","PA1460047","NORRISTOWN STATE HOSPITAL","N","PA","3","","","I","27-JAN-94","CWS",NA,"GW","S","2000","State","GW","N","N","N","35","Y","","NORRISTOWN","19401","PA","","","","","Not Reported","Montgomery","PA"
"4248","PA1460049","NORTH WALES WATER-BLUE BELL SY","N","PA","3","01-01","12-31","I","01-FEB-79","CWS",NA,"GW","L","350","State","GW","N","N","N","0","Y","","NORTH WALES","19454","PA","","","","","Not Reported","Montgomery","PA"
"4249","PA1460051","EAST NORRITON WATER CO","N","PA","3","01-01","12-31","I","01-SEP-82","CWS",NA,"GW","P","385","State","GW","N","N","N","110","Y","","BLUE BELL","19422","PA","","","","","Not Reported","Montgomery","PA"
"4250","PA1460053","VFIP WATER CO","N","PA","3","","","I","03-JUL-78","CWS",NA,"GW","P","500","State","GW","N","N","N","1","Y","","EAGLEVILLE","19408","PA","","","","","Not Reported","Montgomery","PA"
"4251","PA1460054","PA AMERICAN EVANSBURG","N","PA","3","","","I","05-JAN-00","CWS",NA,"SW","P","2060","State","SWP","N","N","N","682","Y","","NORRISTOWN","19401","PA","","","","","Not Reported","Montgomery","PA"
"4252","PA1460057","PENNSBURG WATER COMPANY","N","PA","3","01-01","12-31","I","01-JUN-77","CWS",NA,"GW","P","2000","State","GW","N","N","N","0","Y","","PENNSBURG","18073","PA","","","","","Not Reported","Montgomery","PA"
"4253","PA1460058","SKIPPACK WATER CO","N","PA","3","01-01","12-31","I","01-SEP-77","CWS",NA,"GW","P","250","State","GW","N","N","N","0","Y","","SKIPPACK","19474","PA","","","","","Not Reported","Montgomery","PA"
"4254","PA1460059","S C I GRATERFORD","Y","PA","3","","","I","06-AUG-18","CWS",NA,"SW","S","3000","State","SWP","N","N","N","13","Y","S C I GRATERFORD","GRATERFORD","19426","PA","","","","","Not Reported","Montgomery","PA"
"4255","PA1460060","DUBLIN WATER CO INC","N","PA","3","01-01","12-31","I","01-MAR-80","CWS",NA,"GW","P","2800","State","GW","N","N","N","0","Y","","FORT WASHINGTON","19034","PA","","","","","Not Reported","Montgomery","PA"
"4256","PA1460061","NORTH WALES WATER CO BLUE BELL","N","PA","3","01-01","12-31","I","01-MAR-80","CWS",NA,"GW","P","1000","State","GW","N","N","N","0","Y","","NORTH WALES","19454","PA","","","","","Not Reported","Montgomery","PA"
"4257","PA1460063","EVANSBURG WATER CO-PERK DIV","N","PA","3","","","I","12-JAN-90","CWS",NA,"GW","P","315","State","GW","N","N","N","89","Y","","GRATERFORD","19426","PA","","","","","Not Reported","Montgomery","PA"
"4258","PA2080035","WELLES MILL COMPANY","N","PA","3","","","I","02-MAR-81","CWS",NA,"GW","P","900","State","GW","N","N","N","1","Y","","WYALUSING","18853","PA","","","","","Not Reported","Bradford","PA"
"4259","PA2080037","LONE PINE TRAILER COURT","N","PA","3","","","I","16-OCT-80","CWS",NA,"GW","P","32","State","GW","N","N","N","17","Y","","MANSFIELD","16933","PA","","","","","MANSFIELD","Tioga","PA"
"4260","PA2080039","TERRACE HILLS MHP","N","PA","3","","","I","05-OCT-06","CWS",NA,"GW","P","85","State","GW","N","N","N","28","Y","TERRACE HILLS MHP","WYALUSING","18853","PA","","","","","Not Reported","Bradford","PA"
"4261","PA2080040","HARRIS APARTMENTS","N","PA","3","","","I","24-JUN-87","CWS",NA,"GW","P","75","State","GW","N","N","N","38","Y","","SAYRE","188400000","PA","","","","","Not Reported","Bradford","PA"
"4262","PA2080041","MRS DONNA DARROW %MAPLE LANE","N","PA","3","01-01","12-31","I","01-JAN-83","CWS",NA,"GW","P","29","State","GW","N","N","N","2","Y","","ULSTER","18850","PA","","","","","Not Reported","Bradford","PA"
"4263","PA2080042","ENDLESS MTNS TRAILER COURT","N","PA","3","01-01","12-31","I","01-NOV-85","CWS",NA,"GW","P","32","State","GW","N","N","N","16","Y","","ULSTER","18850","PA","","","","","Not Reported","Bradford","PA"
"4264","PA2080043","SNELL'S MOBILE HOME PARK","N","PA","3","01-01","12-31","I","01-NOV-85","CWS",NA,"GW","P","28","State","GW","N","N","N","11","Y","","TOWANDA","18848","PA","","","","","Not Reported","Bradford","PA"
"4265","PA2080044","MADA ESTATES","N","PA","3","","","I","19-JUL-89","CWS",NA,"GW","P","36","State","GW","N","N","N","10","Y","","SAYRE","188400000","PA","","","","","Not Reported","Bradford","PA"
"4266","PA2080046","THREE FALLS COURT","N","PA","3","","","I","27-SEP-02","CWS",NA,"SW","P","42","State","GU","N","N","N","20","Y","","GILLETT","16925","PA","","","","","Not Reported","Bradford","PA"
"4268","PA1460084","LOHMILLER WELL","N","PA","3","","","I","10-JUL-00","CWS",NA,"GW","P","95","State","GW","N","N","N","56","Y","","WORCESTER","19490","PA","","","","","Not Reported","Montgomery","PA"
"4269","PA1460088","SISTERS OF MERCY CONVENT","N","PA","3","","","I","30-JAN-08","CWS",NA,"GW","P","936","State","GW","N","N","N","6","Y","SISTERS OF MERCY CONVENT","MERION STATION","19066","PA","","","","","Not Reported","Montgomery","PA"
"4270","PA1460089","NPWA-HARRISONTOWN","N","PA","3","","","I","07-NOV-97","CWS",NA,"GW","L","73","State","GW","N","N","N","25","Y","","LANSDALE","19446","PA","","","","","Not Reported","Montgomery","PA"
"4271","PA1460090","NPWA-HEISER SYSTEM","N","PA","3","","","I","12-MAY-97","CWS",NA,"GW","L","80","State","GW","N","N","N","28","Y","","LANSDALE","19446","PA","","","","","Not Reported","Montgomery","PA"
"4272","PA1460091","NPWA-BETHEL GRANT","N","PA","3","","","I","23-MAR-98","CWS",NA,"SW","L","436","State","SWP","N","N","N","147","Y","","LANSDALE","19446","PA","","","","","Not Reported","Montgomery","PA"
"4351","PA1460413","KEN CREST INC","N","PA","3","","","I","15-JAN-87","CWS",NA,"GW","P","40","State","GW","N","N","N","5","Y","","MONT CLARE","19453","PA","","","","","Not Reported","Montgomery","PA"
"4395","PA1460461","HAPPY HILL FARM","N","PA","3","01-01","12-31","I","01-JUN-79","CWS",NA,"GW","P","28","State","GW","N","N","N","2","Y","","LOWER GWYNEDD","19437","PA","","","","","Not Reported","Montgomery","PA"
"4418","PA2350018","BUR INSTIT MGMT-LACKAWANNA CO","N","PA","3","01-01","12-31","I","01-FEB-81","CWS",NA,"SW","L","250","State","SW","N","N","N","2","Y","","SCRANTON","18503","PA","","","","","Not Reported","Lackawanna","PA"
"4419","PA2350020","ELMDALE MHP","N","PA","3","","","I","12-DEC-12","CWS",NA,"GW","P","31","State","GW","N","N","N","15","Y","ELMDALE MHP","MT. COBBEL","18436","PA","","","","","Not Reported","Lackawanna","PA"
"4420","PA2350021","PA GAS AND WATER CO - NORT DI","N","PA","3","01-01","12-31","I","01-MAY-78","CWS",NA,"SW","P","102000","State","SW","N","N","N","0","Y","","SCRANTON","18503","PA","","","","","Not Reported","Lackawanna","PA"
"4421","PA2350022","PENN AMERICAN - ABINGTON DIST.","N","PA","3","","","I","19-JUL-99","CWS",NA,"SW","P","14500","State","SWP","N","N","N","3624","Y","","CLARKS SUMMIT","18411","PA","","","","","CLARKS SUMMIT","Lackawanna","PA"
"4422","PA2350023","ABINGTON TWP PA AMERICAN WATER","N","PA","3","","","I","19-DEC-95","CWS",NA,"GW","P","450","State","GW","N","N","N","158","Y","","CLARKS SUMMIT","18411","PA","","","","","WAVERLY","Lackawanna","PA"
"4423","PA2350024","GLENBRN COMM WS CAS","N","PA","3","01-01","12-31","I","01-JUL-78","CWS",NA,"GW","P","175","State","GW","N","N","N","0","Y","","SCRANTON","18503","PA","","","","","Not Reported","Lackawanna","PA"
"4424","PA2350030","LACKAWANNA CNTY CONVLSCNT HOME","N","PA","3","01-01","12-31","I","01-JUN-78","CWS",NA,"SW","P","400","State","SW","N","N","N","0","Y","","RANSON","18653","PA","","","","","RANSON","Lackawanna","PA"
"4532","PA1156027","VALLEY FORGE SPRINGS","N","PA","3","01-01","12-31","I","01-JUN-95","CWS",NA,"GW","P","7000","State","GW","N","N","N","0","Y","","VALLEY FORGE","19481","PA","","","","","SCHUYKILL","Chester","PA"
"4533","PA1156092","ROCKWOOD SPRING WATER CO.","N","PA","3","01-01","12-31","I","01-JUN-95","CWS",NA,"GW","P","3301","State","GW","N","N","N","1","Y","","POTTSTOWN","19464","PA","","","","","Not Reported","Chester","PA"
